Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"AHAMOMENT (IRE)",2019,GELDING,"ALHEBAYEB (IRE)","TAISPEANTAS (IRE)","David & Nicola Barron",69,,,,,,,,,,,
"AHANAGLOGH (IRE)",2019,GELDING,"WATAR (IRE)","WIZZY (IRE)","Fergal O'Brien",,,,,,,85,,,85,,
"AHEAD OF FASHION (GB)",2023,GELDING,"DREAM AHEAD (USA)","FASHION (GB)","Dominic Ffrench Davis",67,,,,,,,,,,,
"AIGEAS (FR)",2023,COLT,"KODI BEAR (IRE)","BONITA QUEEN (FR)","Oliver Cole",77,,,,,,,,,,,
"AIGHEAR (GB)",2018,FILLY,"FARHH (GB)","KABJOY (IRE)","Jim Goldie",54,,,,,,,,,,,
"AILL DUBH (IRE)",2017,GELDING,"SHANTOU (USA)","CAPTAIN CAROL (IRE)","Micky Hammond",,,,,,,78,,,,,
"AILT AN CHORRAIN (IRE)",2019,GELDING,"MAHLER (GB)","MAZAGEE (FR)","Patrick Neville",,,,,,,105,,,,,
"AIM FOR THE BULL (IRE)",2022,GELDING,"SHOWCASING (GB)","ULTIMATE AIM (GB)","Mike Murphy",54,,,,,,,,,,,
"AIM STRAIGHT (GB)",2020,GELDING,"AUSTRALIA (GB)","HIGH HOPES (GB)","Katy Price",,,,,,,,,,94,,
"AIMERIC (GB)",2019,GELDING,"FRANKEL (GB)","ARIS (IRE)","Jennie Candlish",107,,,,,,,,,,,
"AIMING HIGH (GB)",2019,FILLY,"LOPE DE VEGA (IRE)","HIGH HOPES (GB)","David Simcock",71,,,,,,,,,,,
"AIN'T NOBODY (IRE)",2022,COLT,"SANDS OF MALI (FR)","BURMESE WALTZ (GB)","Kevin Ryan",109,-3,,,,,,,,,,
"AIN'T THAT A SHAME (IRE)",2014,GELDING,"JEREMY (USA)","CASTLETOWN GIRL (GB)","Tom Ellis",,,,,,,141,-1,,,,
"AIR APPARENT (IRE)",2020,GELDING,"JET AWAY (GB)","SCARLET RAMBLER (IRE)","Seamus Mullins",,,,,,,,,,101,,
"AIR FORCE ONE (IRE)",2021,GELDING,"STARSPANGLEDBANNER (AUS)","GREAT DAME (IRE)","Geoff Oldroyd",90,,,,,,,,,,,
"AIRE SPRAY (IRE)",2020,GELDING,"BERKSHIRE (IRE)","GETAWAY FRANJOE (IRE)","Joel Parkinson & Sue Smith",,,,,,,103,,,103,,
"AIRSIDE (GB)",2023,COLT,"ARDAD (IRE)","VICTORY GARDEN (GB)",,68,,,,,,,,,,,
"AISLING OSCAR (IRE)",2021,GELDING,"RAJASINGHE (IRE)","GOODNIGHTSUZY (IRE)","Adrian Keatley",78,,,,,,,,,,,
"AJ'S DIAMOND (IRE)",2020,FILLY,"HARZAND (IRE)","PEARL DIAMOND (IRE)","Chris Gordon",,,,,,,,,,115,,
"AJDAYET (GB)",2021,GELDING,"TEN SOVEREIGNS (IRE)","PARIS ROOFTOPS (IRE)",,65,,,,,,,,,,,
"AJRAD (GB)",2018,GELDING,"NEW APPROACH (IRE)","PRINCESS CAMMIE (IRE)","Rod Millman",59,,,,,,,,,,,
"AJUDA ROAD (GB)",2023,GELDING,"ARDAD (IRE)","OUJA (GB)","Geoffrey Harker",56,,,,,,,,,,,
"AKABUSI (GB)",2023,GELDING,"MOHAATHER (GB)","TODAY'S THE DAY (GB)","Mike Murphy",73,-2,,,,,,,,,,
"AKHO MEZZNA (FR)",2023,GELDING,"MORE THAN READY (USA)","SEA OF SNOW (USA)","Jack Jones",78,,,,,,,,,,,
"AKIMOS (IRE)",2020,GELDING,"WESTERNER (GB)","REDEMPTION SONG (IRE)","Nicky Henderson",,,,,,,113,,,113,,
"AKIRRA (IRE)",2023,COLT,"KODIAC (GB)","WISH FOR ME (IRE)","Clive Cox",80,,,,,,,,,,,
"AKKADIAN THUNDER (GB)",2020,GELDING,"NIGHT OF THUNDER (IRE)","AKHANIA (GB)","David O'Meara",91,,,,,,,,,,,
"AKRIVOS (IRE)",2023,GELDING,"BLUE POINT (IRE)","RIVER ROCK (IRE)","Ian Williams",46,,,,,,,,,,,
"AKRRAMM (GB)",2022,GELDING,"TOO DARN HOT (GB)","SAHAYEB (USA)",,73,,,,,,,,,,,
"AL AALI (FR)",2022,GELDING,"CITY LIGHT (FR)","LA ZUBIA (GB)","George Scott",94,-2,,,,,,,,,,
"AL AASY (IRE)",2017,GELDING,"SEA THE STARS (IRE)","KITCARA (GB)","William Haggas",114,,,,,,,,,,,
"AL AMEEN (IRE)",2019,GELDING,"ACLAIM (IRE)","KENDAL MINT (GB)",,76,,,81,,,,,,,,
"AL AMIRAH (GB)",2023,FILLY,"MASAR (IRE)","AL HAYETTE (USA)","Ismail Mohammed",58,,,,,,,,,,,
"AL ARBEED (GB)",2022,COLT,"NIGHT OF THUNDER (IRE)","QUEEN'S PEARL (IRE)","Richard Hannon",90,-2,,,,,,,,,,
"AL AZD (IRE)",2023,GELDING,"DUBAWI (IRE)","ZEYAADAH (IRE)","Roger Varian",92,,,,,,,,,,,
"AL BAAHY (GB)",2019,GELDING,"KINGMAN (GB)","SECRET KEEPER (GB)","Kevin Frost",50,-2,,,,,,,,,,
"AL BAAREZ (IRE)",2022,GELDING,"KODIAC (GB)","SEMPER FI (GB)",,54,,,,,,,,,,,
"AL BAREZ (GB)",2019,GELDING,"DARK ANGEL (IRE)","JET SETTING (IRE)","Tom Clover",73,,,,,,,,,,,
"AL DURRY (GB)",2022,FILLY,"AMERICAN PHAROAH (USA)","VALE DORI (ARG)","Owen Burrows",84,,,,,,,,,,,
"AL HOFZAN (IRE)",2022,GELDING,"KODIAC (GB)","HAWAFEZ (IRE)","Georgina Nicholls",66,,,,,,,,,,,
"AL HUSSAR (GB)",2022,GELDING,"BATED BREATH (GB)","QUEEN'S CHARTER (GB)","Grant Tuer",77,,,,,,,,,,,
"AL JOORY (IRE)",2022,FILLY,"MOHAATHER (GB)","YASMEEN (GB)",,85,,,,,,,,,,,
"AL KARRAR (IRE)",2020,GELDING,"DARK ANGEL (IRE)","MOGHAMARAH (GB)","Tom Clover",85,,,,,,,,,,,
"AL KHAWANEEJ RIVER (FR)",2021,GELDING,"DARIYAN (FR)","ZAHRAT NARJIS (GB)",,64,,,,,,,,,,,
"AL KHAWSSAA (IRE)",2021,FILLY,"NIGHT OF THUNDER (IRE)","PLATINUM PEARL (GB)",,83,,,,,,,,,,,
"AL MASLOOL (GB)",2023,COLT,"DARK ANGEL (IRE)","ZURIGHA (IRE)","William Haggas",71,,,,,,,,,,,
"AL MOOTAMARID (IRE)",2021,GELDING,"KINGMAN (GB)","FLECHE D'OR (GB)","Dominic Elsworth",77,,,,,,,,,,,
